id,Vulnerability Title,date_reported,severity,description,code,file location
CVE-2018-12364,Bypass CSRF,2018-10-18,Medium,"NPAPI plugins, such as Adobe Flash, can send non-simple cross-origin requests, bypassing CORS by making a same-origin POST that does a 307 redirect to the target site. This allows for a malicious site to engage in cross-site request forgery (CSRF) attacks. This vulnerability affects Thunderbird < 60, Thunderbird < 52.9, Firefox ESR < 60.1, Firefox ESR < 52.9, and Firefox < 61.",55,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-11406,CSRF,2018-06-13,Medium,"An issue was discovered in the Security component in Symfony 2.7.x before 2.7.48, 2.8.x before 2.8.41, 3.3.x before 3.3.17, 3.4.x before 3.4.11, and 4.0.x before 4.0.11. By default, a user's session is invalidated when the user is logged out. This behavior can be disabled through the invalidate_session option. In this case, CSRF tokens were not erased during logout which allowed for CSRF token fixation.",56,"sample_project/api/folder2/file0.c, line46"
CVE-2018-8764,CSRF,2018-03-27,Medium,"Roland Gruber Softwareentwicklung LDAP Account Manager before 6.3 places a CSRF token in the sec_token parameter of a URI, which makes it easier for remote attackers to defeat a CSRF protection mechanism by leveraging logging.",56,"sample_project/api/folder2/file0.c, line46"
CVE-2017-16653,CSRF,2018-08-06,Medium,"An issue was discovered in Symfony before 2.7.38, 2.8.31, 3.2.14, 3.3.13, 3.4-BETA5, and 4.0-BETA5. The current implementation of CSRF protection in Symfony (Version >=2) does not use different tokens for HTTP and HTTPS; therefore the token is subject to MITM attacks on HTTP and can then be used in an HTTPS context to do CSRF attacks.",56,"sample_project/api/folder2/file0.c, line46"
CVE-2017-0362,CSRF,2018-04-13,Medium,"Mediawiki before 1.28.1 / 1.27.2 / 1.23.16 contains a flaw where the ""Mark all pages visited"" on the watchlist does not require a CSRF token.",56,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-10928,Exec Code,2018-09-04,Medium,A flaw was found in RPC request using gfs3_symlink_req in glusterfs server which allows symlink destinations to point to file paths outside of the gluster volume. An authenticated attacker could use this flaw to create arbitrary symlinks pointing anywhere on the server and execute arbitrary code on glusterfs server nodes.,68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-10926,Exec Code,2018-09-04,Medium,A flaw was found in RPC request using gfs3_mknod_req supported by glusterfs server. An authenticated attacker could use this flaw to write files to an arbitrary location via path traversal and execute arbitrary code on a glusterfs server node.,68,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-10907,Exec Code Overflow,2018-09-04,Medium,It was found that glusterfs server is vulnerable to multiple stack based buffer overflows due to functions in server-rpc-fopc.c allocating fixed size buffers using 'alloca(3)'. An authenticated attacker could exploit this by mounting a gluster volume and sending a string longer that the fixed buffer size to cause crash or potential code execution.,75,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-10904,Exec Code,2018-09-04,Medium,"It was found that glusterfs server does not properly sanitize file paths in the ""trusted.io-stats-dump"" extended attribute which is used by the ""debug/io-stats"" translator. Attacker can use this flaw to create files and execute arbitrary code. To exploit this attacker would require sufficient access to modify the extended attributes of files on a gluster volume.",68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-10900,Exec Code,2018-07-26,High,"Network Manager VPNC plugin (aka networkmanager-vpnc) before version 1.2.6 is vulnerable to a privilege escalation attack. A new line character can be used to inject a Password helper parameter into the configuration data passed to VPNC, allowing an attacker to execute arbitrary commands as root.",68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-10875,Exec Code,2018-07-13,Medium,"A flaw was found in ansible. ansible.cfg is read from the current working directory which can be altered to make it point to a plugin or a module path under the control of an attacker, thus allowing the attacker to execute arbitrary code.",68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-10858,Exec Code Overflow,2018-08-22,Medium,"A heap-buffer overflow was found in the way samba clients processed extra long filename in a directory listing. A malicious samba server could use this flaw to cause arbitrary code execution on a samba client. Samba versions before 4.6.16, 4.7.9 and 4.8.4 are vulnerable.",75,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-10191,Exec Code Overflow,2018-04-17,High,"In versions of mruby up to and including 1.4.0, an integer overflow exists in src/vm.c::mrb_vm_exec() when handling OP_GETUPVAR in the presence of deep scope nesting, resulting in a use-after-free. An attacker that can cause Ruby code to be run can use this to possibly execute arbitrary code.",75,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-8822,Exec Code Overflow,2018-03-20,High,"Incorrect buffer length handling in the ncp_read_kernel function in fs/ncpfs/ncplib_kernel.c in the Linux kernel through 4.15.11, and in drivers/staging/ncpfs/ncplib_kernel.c in the Linux kernel 4.16-rc through 4.16-rc6, could be exploited by malicious NCPFS servers to crash the kernel or execute code.",75,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-8788,Exec Code Mem. Corr.,2018-11-29,High,FreeRDP prior to version 2.0.0-rc4 contains an Out-Of-Bounds Write of up to 4 bytes in function nsc_rle_decode() that results in a memory corruption and possibly even a remote code execution.,74,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-8787,Exec Code Overflow Mem. Corr.,2018-11-29,High,FreeRDP prior to version 2.0.0-rc4 contains an Integer Overflow that leads to a Heap-Based Buffer Overflow in function gdi_Bitmap_Decompress() and results in a memory corruption and probably even a remote code execution.,76,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-8786,Exec Code Overflow Mem. Corr.,2018-11-29,High,FreeRDP prior to version 2.0.0-rc4 contains an Integer Truncation that leads to a Heap-Based Buffer Overflow in function update_read_bitmap_update() and results in a memory corruption and probably even a remote code execution.,76,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-8781,Exec Code Overflow,2018-04-23,High,"The udl_fb_mmap function in drivers/gpu/drm/udl/udl_fb.c at the Linux kernel version 3.4 and up to and including 4.15 has an integer-overflow vulnerability allowing local users with access to the udldrmfb driver to obtain full read and write permissions on kernel physical pages, resulting in a code execution in kernel space.",75,"sample_project/src/folder1/file3.js, line95"
CVE-2018-7602,Exec Code,2018-07-19,High,"A remote code execution vulnerability exists within multiple subsystems of Drupal 7.x and 8.x. This potentially allows attackers to exploit multiple attack vectors on a Drupal site, which could result in the site being compromised. This vulnerability is related to Drupal core - Highly critical - Remote Code Execution - SA-CORE-2018-002. Both SA-CORE-2018-002 and this vulnerability are being exploited in the wild.",68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-7600,Exec Code,2018-03-29,High,"Drupal before 7.58, 8.x before 8.3.9, 8.4.x before 8.4.6, and 8.5.x before 8.5.1 allows remote attackers to execute arbitrary code because of an issue affecting multiple subsystems with default or common module configurations.",68,"sample_project/src/folder1/file3.js, line95"
CVE-2018-7550,Exec Code,2018-03-01,Medium,"The load_multiboot function in hw/i386/multiboot.c in Quick Emulator (aka QEMU) allows local guest OS users to execute arbitrary code on the QEMU host via a mh_load_end_addr value greater than mh_bss_end_addr, which triggers an out-of-bounds read or write memory access.",68,"sample_project/src/folder2/file2.cpp, line37"
